event_id,expected_attendance,p10,p90
ft_evt_0040,99,76,118
ft_evt_0058,179,160,198
ft_evt_0014,61,38,84
ft_evt_0032,158,135,181
ft_evt_0023,163,140,186
ft_evt_0056,352,333,371
ft_evt_0006,89,65,112
ft_evt_0052,310,291,329
ft_evt_0060,500,481,519
ft_evt_0041,85,62,94
ft_evt_0015,58,35,81
ft_evt_0033,76,53,88
ft_evt_0024,70,47,80
ft_evt_0007,58,35,78
ft_evt_0042,62,39,71
ft_evt_0016,43,20,67
ft_evt_0048,145,138,153
ft_evt_0062,81,62,100
ft_evt_0034,54,31,61
ft_evt_0050,394,375,413
ft_evt_0025,85,62,98
ft_evt_0008,56,32,58
ft_evt_0046,290,279,301
ft_evt_0043,49,26,65
ft_evt_0017,26,3,48
ft_evt_0054,163,153,172
ft_evt_0035,55,32,67
ft_evt_0026,54,31,63
ft_evt_0009,36,12,37
ft_evt_0044,52,29,56
